证券代码,日期,收入熵指标
#300012,2013,3.6179282290603627
#300012,2014,
#300029,2009,3.7246018148736764
#300029,2010,3.6486028280925074
#300029,2011,3.668801070018144
#300032,2009,3.69423369503543
#300032,2010,3.710270002194211
#300032,2011,3.7899354130942378
#300032,2012,3.834690105201135
#300032,2013,3.8140459959668895
#300032,2014,
#300032,2015,3.0420565121772607
#300032,2016,
#300039,2009,3.1896935141137295
#300039,2010,3.6893810672560945
#300039,2011,3.1785090352962087
#300039,2012,3.7548856306474088
#300039,2013,3.068749428148924
#300039,2014,
#300066,2012,3.9395244419688042
#300066,2013,3.9407901965677374
#300066,2014,
#300074,2010,3.659170602313803
#300074,2011,3.7398754854732186
#300074,2016,
#300074,2017,
#300086,2010,3.402625463325034
#300086,2011,3.3399328340166927
#300086,2012,3.863899315294728
#300086,2013,3.8843876422669865
#300095,2010,2.90175494569666
#300095,2011,3.713030690267347
#300095,2012,3.735772396296946
#300095,2013,3.7716723620986623
#300095,2014,
#300095,2015,3.2483557307409225
#300095,2016,
#300095,2017,
#300118,2010,3.4842413052924033
#300118,2011,3.6591665831302578
#300118,2012,3.618732857648908
#300118,2013,3.707216254153299
#300121,2010,3.4551584483106703
#300121,2011,3.4668218226298295
#300121,2012,3.4711177897593535
#300121,2013,3.7812609066952083
#300121,2014,
#300122,2013,4.0146580931277125
#300122,2015,
#300133,2015,
#300133,2016,
#300133,2017,
#300135,2012,3.6863758949814036
#300135,2013,3.7405552872900376
#300135,2014,
#300160,2010,2.9335945335886815
#300160,2011,2.985210212320504
#300160,2012,3.7202244087630008
#300160,2013,3.7457267926359346
#300160,2014,
#300160,2016,
#300162,2012,3.9417380711831616
#300162,2013,3.981551805325233
#300162,2014,
#300175,2010,3.6014248037075443
#300175,2011,3.7348988881249694
#300175,2012,3.7380911677656363
#300175,2013,3.798303688695602
#300185,2010,3.4285687991452747
#300185,2011,3.506535741889893
#300185,2012,3.815458307493874
#300185,2013,3.8380615120131396
#300185,2014,
#300185,2015,3.2569845729290874
#300185,2016,
#300185,2017,
#300188,2011,3.283251653803697
#300188,2013,3.908546056594391
#300188,2014,
#300194,2011,3.519728416916008
#300194,2012,3.8301066044718057
#300196,2011,3.4952334918385195
#300196,2012,3.810949809067097
#300196,2013,3.8335301631822705
#300196,2014,
#300202,2011,3.3418521296692814
#300202,2012,3.852894747999179
#300202,2013,3.688074540400123
#300202,2014,
#300202,2015,3.0392438129394512
#300202,2016,2.9774802151866755
#300202,2017,
#300208,2013,3.8154885039966633
#300208,2014,
#300215,2012,3.757178980726534
#300215,2013,3.7749005725172458
#300215,2014,
#300215,2015,3.4008969978865373
#300215,2016,3.381244656911944
#300217,2012,3.9579192193491117
#300217,2013,3.948968506811349
#300217,2014,
#300217,2015,
#300217,2016,
#300217,2017,
#300233,2011,3.531904104417514
#300233,2012,3.69600691918144
#300233,2013,3.680961325843982
#300233,2014,
#300236,2017,
#300239,2014,
#300247,2016,
#300247,2017,
#300255,2011,2.7343259154798254
#300255,2012,3.7267285942924717
#300255,2013,3.757853988808629
#300255,2014,
#300280,2011,1.9452669050830766
#300280,2012,3.796680486922785
#300280,2013,3.804763455399522
#300280,2014,
#300280,2015,3.0851823891486467
#300280,2016,3.094951104444189
#300281,2013,3.8457375673879306
#300281,2014,
#300281,2015,
#300281,2016,
#300281,2017,
#300299,2017,
#300307,2012,3.6597768520775285
#300307,2013,3.7006838538225377
#300307,2014,
#300309,2013,3.732318375744483
#300309,2014,
#300314,2012,3.7840442090127144
#300314,2013,3.79051481702919
#300314,2014,
#300314,2015,3.2782066396391203
#300317,2012,3.7548749230836966
#300317,2013,3.7800216100569353
#300317,2014,
#300320,2012,3.94341476851155
#300329,2012,3.8053749917980872
#300329,2013,3.7863586498616937
#300329,2014,
#300329,2015,
#300329,2016,
#300338,2012,3.797744496481183
#300338,2013,3.80992082057243
#300338,2014,
#300342,2013,3.1651267837865724
#300342,2014,
#300362,2013,3.7938451215134665
#300362,2014,
#300375,2014,
#300375,2015,
#300412,2014,
#300412,2016,
#300412,2017,
#300427,2017,
#300428,2015,2.9771563388940008
#300428,2017,
#300512,2017,
#300547,2016,
#300547,2017,
#300563,2016,3.144077940402971
#300563,2017,
#600408,2008,3.7151833035082165
#600408,2009,3.748502675389777
#600408,2010,3.6815550597625557
#600408,2011,3.7825415339925494
#600408,2012,3.816066610024792
#600408,2013,3.8137438612727816
#600978,2011,3.3190594590410685
#600978,2014,
#600978,2015,
#600978,2016,
#600978,2017,
